freq,EMD,alpha,Rloss
8000000000.0,1.5031124179051072,14.340367262505174,-1.1673258375570255
8066000000.0,1.4616460166602412,17.136381190323977,-1.4634857002333925
8154000000.0,1.4123774731794052,20.718592751896466,-1.8804259674059962
8264000000.0,1.3786462944637494,21.68810664101311,-2.105934822068428
8352000000.0,1.3302655147603606,25.72110598929668,-2.6531827625548816
8462000000.0,1.2847800622155645,28.433184657169356,-3.1555398039777542
8550000000.0,1.2117200372108887,29.610396983367036,-3.63193330713509
8660000000.0,1.1333053081133546,30.289422866775908,-4.2154996290515125
8770000000.0,1.0979367496904964,34.54678719328709,-5.122544637201376
8858000000.0,1.0888703584573929,34.97315563428344,-5.425774480918022
8968000000.0,1.02886049484145,36.601411523549466,-6.348901449761933
9056000000.0,0.9961138055397591,42.32810485660537,-7.634987399690315
9166000000.0,0.855446243412914,54.34629148145202,-11.31928925087326
9254000000.0,0.7817675849316729,62.35675725522599,-13.84298886494304
9364000000.0,0.7409083438897663,65.77817928366478,-15.70779424301927
9452000000.0,0.7240078551532217,67.11771439876816,-16.830762057944252
9562000000.0,0.6820041003533776,69.25397551220512,-19.069579313348886
9650000000.0,0.667512455317032,69.44911259392069,-20.273358653974746
9760000000.0,0.6447325798186969,67.44824246495425,-21.760704587117054
9870000000.0,0.6134534647154434,67.0582810794393,-23.195865474668693
9958000000.0,0.5777110847741653,66.21066338817629,-23.6183603594321
10002000000.0,0.5581671035416752,66.91576847985776,-23.839440924206528
10068000000.0,0.5296547685422196,66.08117031998714,-22.61111464390755
10156000000.0,0.5080750127431631,65.71778805778949,-21.023273297252246
10266000000.0,0.4960678866623616,65.99855199521177,-19.778763615523367
10354000000.0,0.4450078296274471,63.88585254796127,-15.305039775179921
10464000000.0,0.4392750498150304,64.43521410719686,-14.51237041217756
10552000000.0,0.42962172273097476,65.30467225430054,-13.872507906136192
10640000000.0,0.4246892300901517,65.91574339033303,-13.360470669727322
10750000000.0,0.41325330093668455,67.62303535759482,-12.945456000116787
10860000000.0,0.40639862314960185,68.61146810621075,-12.436855247323116
10970000000.0,0.397002221562454,68.92639710725788,-11.560453258738452
11058000000.0,0.39070036646795203,68.74375767411718,-10.786033786312498
11168000000.0,0.39348080247795225,68.28217712331008,-10.216436700658392
11256000000.0,0.38921395683492294,67.70781907491661,-9.485297365299862
11366000000.0,0.39070984068112913,67.34683100084688,-8.994933091971902
11454000000.0,0.3903233952885241,67.17629979036285,-8.61378720140584
11564000000.0,0.3879819125216883,67.54187447216778,-8.28192060719011
11652000000.0,0.3842442929309232,67.99296379901679,-8.021938245014576
11762000000.0,0.38802084187003516,67.3881815595061,-7.634705561143461
11872000000.0,0.3835932780603533,67.19068512054288,-7.161901298204648
11960000000.0,0.40859976523495667,61.822709072037185,-6.3030817901828655
12048000000.0,0.4226409790643155,59.23223576253768,-5.883050104271778
12114000000.0,0.4658636109992927,56.17417618454942,-6.034227799265404
12180000000.0,0.49050100733799684,54.79080843590559,-6.115906201601947
12268000000.0,0.4832885972831831,57.871010622480505,-6.402200792531561
12356000000.0,0.436722500249619,66.23991917285534,-7.017737680518147
