,R1,R2,R3,Rmax1,Rmax2,Rmax3,Rmax1-R1,Rmax2-R2,Rmax3-R3,(Rmax1-R1)/Rmax1,(Rmax2-R2)/Rmax2,(Rmax3-R3)/Rmax3,(Rmax1-R1)/Rmax1*100,(Rmax2-R2)/Rmax2*100,(Rmax3-R3)/Rmax3*100
0,3154.10522,2439.74292,4009.32788,3207.02441,2476.46582,4064.0820299999996,52.91919000000007,36.722899999999754,54.754149999999754,0.01650102501090725,0.014828753017071625,0.013472698040004808,1.6501025010907249,1.4828753017071625,1.347269804000481
1,3162.1289100000004,2442.54834,4017.3928200000005,3207.02441,2476.46582,4064.0820299999996,44.89549999999963,33.91748000000007,46.68920999999909,0.013999113901349952,0.013695920907157955,0.011488254827375888,1.399911390134995,1.3695920907157955,1.1488254827375888
2,3162.8774399999998,2435.92822,4002.6936,3207.02441,2476.46582,4064.0820299999996,44.14697000000024,40.53760000000011,61.388429999999516,0.013765710626443358,0.016369133655153825,0.015105115877791356,1.3765710626443357,1.6369133655153825,1.5105115877791355
3,3160.40942,2441.0419899999997,4018.22705,3207.02441,2476.46582,4064.0820299999996,46.614990000000034,35.42383000000018,45.854979999999614,0.01453527757838302,0.014304186923928626,0.011282985840716315,1.453527757838302,1.4304186923928626,1.1282985840716315
4,3166.99707,2444.44019,4019.67871,3207.02441,2476.46582,4064.0820299999996,40.027340000000095,32.02563000000009,44.40331999999944,0.012481146035305698,0.01293198950753138,0.010925793247337442,1.2481146035305697,1.2931989507531378,1.092579324733744
5,3160.26953,2447.3772,4012.75879,3207.02441,2476.46582,4064.0820299999996,46.75487999999996,29.08861999999999,51.323239999999714,0.014578897452171235,0.011746021190795193,0.012628495099543972,1.4578897452171236,1.1746021190795193,1.2628495099543973
6,3167.7771,2436.8630399999997,4010.22632,3207.02441,2476.46582,4064.0820299999996,39.2473100000002,39.602780000000166,53.85570999999936,0.01223792057136235,0.015991652168250062,0.01325162966752405,1.2237920571362348,1.5991652168250061,1.325162966752405
7,3164.1127899999997,2437.00415,4017.91431,3207.02441,2476.46582,4064.0820299999996,42.91162000000031,39.461669999999685,46.16771999999946,0.013380509317670056,0.015934671773503294,0.011359938027628707,1.3380509317670055,1.5934671773503293,1.1359938027628707
8,3155.6333,2437.07275,4009.9509299999995,3207.02441,2476.46582,4064.0820299999996,51.391110000000026,39.39307000000008,54.13110000000006,0.016024545943509057,0.01590697100757889,0.01331939158718213,1.6024545943509056,1.5906971007578892,1.331939158718213
9,3163.56323,2447.45142,4017.84351,3207.02441,2476.46582,4064.0820299999996,43.461179999999786,29.014400000000023,46.238519999999426,0.013551870657573132,0.011716051061831342,0.011377358935838073,1.3551870657573133,1.1716051061831343,1.1377358935838073
10,3160.60352,2443.2426800000003,4020.30273,3207.02441,2476.46582,4064.0820299999996,46.42088999999987,33.2231399999996,43.779299999999694,0.014474754184986036,0.013415545545465918,0.01077224811822996,1.4474754184986036,1.341554554546592,1.0772248118229961
11,3166.9209,2444.49414,4011.70044,3207.02441,2476.46582,4064.0820299999996,40.103509999999915,31.971680000000106,52.381589999999505,0.012504897023842708,0.012910204429956601,0.012888910610891265,1.250489702384271,1.2910204429956602,1.2888910610891264
